id	E17.5KO1	E17.5KO2	E17.5KO3	E17.5WT1	E17.5WT2	E17.5WT3
1417420_at	11.67265542	11.42719537	11.70679002	11.72071187	11.74757277	12.01259396
1417421_at	7.7522636	8.01171663	6.908780503	7.537638357	8.057557989	7.393758922
1417422_at	4.504368459	4.267177562	2.82031149	6.309403731	6.644682796	6.135713405
1417423_at	10.74979058	10.7409953	10.48724618	10.2404033	10.07165055	10.12181552
1417424_at	10.73855531	10.52486476	11.0442566	10.54906804	10.78327261	10.81415561
1417425_at	8.695966312	8.98857529	8.949892136	8.639193314	8.513495996	8.934981356
1417426_at	12.77460889	12.82961546	13.03458577	12.85627297	13.25492797	13.1462866
1417427_at	10.17086245	10.49159029	10.22589299	10.05808543	10.26449172	10.03182272
1417428_at	4.90553322	7.74776394	6.653733816	7.168822598	5.32536344	4.912392179
1417429_at	9.87553577	9.67062922	9.691115587	9.670144841	9.485960241	10.09258314
1417430_at	9.679206966	9.380246396	9.676688543	9.961033335	10.20853902	9.978116023
1417431_a_at	8.995418757	8.855464021	9.104929432	8.928923818	8.935017904	8.836778525
1417432_a_at	12.05234506	11.81236322	11.75052892	12.08673484	11.86173623	11.71272758
1417433_at	10.43644834	10.76246753	10.36722287	10.72639267	10.47724642	10.34394944
1417434_at	9.700852318	9.456586479	9.523999111	9.300390457	8.354444058	9.189509497
1417435_at	9.657537649	9.705408886	9.543058546	10.13287195	10.03300822	9.905137349
1417436_at	4.164928443	2.85728056	3.021911613	2.979673324	5.320565113	3.149262094
1417437_at	9.320470589	9.220262049	9.339819276	9.544148439	9.495888877	9.517573785
1417438_at	10.42926009	10.44760552	10.37478562	9.870557005	10.00301763	10.23573099
1417439_at	10.1017379	10.54041606	10.41305743	10.75074112	11.06706244	10.75771537
1417440_at	11.32012694	11.13332364	11.667457	10.91853113	11.24891718	11.37027153
1417441_at	9.436623541	9.249634396	9.028613482	8.301562697	8.963569938	8.900705407
1417442_a_at	9.042876848	8.739364541	8.904769422	9.768943622	9.448672247	9.288415331
1417443_at	6.164756032	4.454859253	6.791489942	5.909912608	6.509243858	7.059056626
1417444_at	8.904496354	7.942297823	8.913301404	8.842522253	9.236642925	9.190610757
1417445_at	8.436215283	8.95444891	8.722957019	8.7360476	9.216993016	8.990962339
1417446_at	8.800276956	8.911901656	9.126411165	9.488832931	9.424156508	9.395497037
1417447_at	3.621733068	6.140931326	4.099478612	4.07021377	5.047646778	2.69844306
1417448_at	8.914977812	9.107090723	8.583658108	8.657707039	9.03394784	8.756379095
1417449_at	8.929051105	8.280331532	8.724864877	8.992053624	8.917971326	8.694942419
1417450_a_at	9.068979446	9.130162128	9.267408879	9.131118921	9.693072409	9.553916972
1417451_a_at	14.9110351	14.94700195	14.9205349	14.99011565	15.03318087	14.90479887
1417452_a_at	14.57870846	14.50356885	14.4363869	14.34957745	14.2658465	14.07749082
1417453_at	9.116215579	8.855478851	9.104614259	9.087843856	8.790314994	8.865568598
1417454_at	10.35226772	10.4756529	10.48982803	10.63122109	10.44442732	10.18283145
1417455_at	8.90918099	8.501638516	8.836794319	9.436445611	9.401634837	9.612113004
1417456_at	10.2505391	9.835354489	10.05569205	10.81808646	10.72861403	10.59862462
1417457_at	12.12753166	12.1225234	12.24107701	12.0424991	12.36612429	11.93504616
1417458_s_at	11.89981551	12.06023085	12.18884781	12.01456726	12.37488376	12.19331917
1417459_at	3.605069443	3.455905693	2.208644861	4.707485115	2.532015091	2.910470602
1417460_at	13.1082563	13.12751551	13.2531609	13.31330806	13.57452382	13.27350276
1417461_at	10.74849424	9.0949963	7.216112641	10.81312191	6.311077713	6.638357711
1417462_at	10.42565804	8.591239478	7.320195783	10.40775625	6.29178276	6.04929087
1417463_a_at	12.48194249	12.66105507	12.67795294	12.75542885	12.89771953	12.60908499
1417464_at	13.90942381	13.87131386	13.84731347	14.33566567	14.23981759	14.53545565
1417465_at	11.9888061	11.994758	11.84981386	12.17977705	12.13516959	12.06529467
1417466_at	11.48684109	11.56777922	11.72774282	11.35311174	11.75536042	11.45959957
1417467_a_at	8.832085997	8.826246065	8.846684068	8.718967984	8.328989784	8.814823068
1417468_at	9.96351471	10.16636613	9.957009621	10.11829205	9.908942931	9.715032243
1417469_at	6.563046913	6.904494705	7.334898937	7.015737323	6.661214866	6.433857268
1417470_at	8.041757776	8.580544703	8.26197683	8.412050321	7.751114979	7.042596116
1417471_s_at	9.167785482	8.446416348	8.555871649	7.647838514	8.359792744	8.006096111
1417472_at	10.73010816	10.67801491	10.84677714	9.948416849	9.171312284	9.574399643
1417473_a_at	7.091029031	7.034300235	7.215208016	6.530739505	6.031689556	6.885483534
